,user_id,round,Action,Payoff,time,PlayedBy,context,NeigboursPayoffs1,2,3,4,5,6,7,8,Neigbours1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,other,self,response
81,91,22,C,7,5.63999986649,user,1,20,20,7,20,20,20,20,20,69,3,36,24,144,109,124,129,77,7,1
82,91,23,C,14,4.84999990463,user,2,10,10,30,30,28,40,14,20,56,97,163,68,14,167,158,45,74,14,1
83,91,24,C,21,4.5399999618499995,user,3,20,20,30,21,40,28,28,40,157,73,30,50,23,70,141,63,71,21,1
84,91,25,D,10,21.5299999714,user,1,10,10,10,20,30,20,20,0,74,146,119,120,127,164,19,116,0,10,0
85,91,26,C,0,4.09999990463,user,0,20,10,10,10,30,20,10,20,134,122,15,127,143,99,132,70,80,0,1
86,91,27,C,14,8.10000014305,user,2,10,40,35,21,50,30,30,20,111,126,163,115,1,90,128,5,74,14,1
87,91,28,C,21,6.00999999046,user,3,20,7,20,30,14,40,14,30,117,155,118,151,32,27,44,98,71,21,1
88,91,29,C,14,4.84000015259,user,2,20,20,20,40,21,21,20,20,105,62,67,146,133,115,152,119,74,14,1
89,91,30,D,0,10.5099999905,user,0,0,0,10,0,20,10,10,0,32,166,126,69,122,43,137,33,0,0,0
90,91,31,D,0,22.0,user,0,0,10,10,0,10,20,10,0,95,47,63,131,169,147,35,106,0,0,0
91,91,32,C,14,6.09999990463,user,2,40,30,40,50,21,14,30,20,78,156,144,104,64,25,99,134,74,14,1
92,91,33,D,20,7.39999985695,user,2,10,0,10,20,10,0,10,20,67,168,80,131,77,123,38,27,0,20,0
93,91,34,D,20,4.34999990463,user,2,10,20,10,14,28,30,10,0,80,120,84,128,89,88,147,140,0,20,0
94,91,35,C,14,5.7100000381500005,user,2,20,7,30,30,10,30,21,40,120,104,127,86,44,77,80,70,74,14,1
95,91,36,C,0,4.370000123980001,user,0,10,10,20,10,10,10,10,10,151,36,44,98,92,70,6,26,80,0,1
96,91,37,C,14,5.85000014305,user,2,30,40,30,7,30,30,20,7,81,92,12,20,136,138,31,72,74,14,1
97,91,38,C,14,4.7899999618499995,user,2,7,20,10,20,20,20,14,40,16,120,147,18,67,153,126,48,74,14,1
98,91,39,C,7,3.58999991417,user,1,50,30,50,40,40,14,40,40,92,88,67,113,38,112,69,164,77,7,1
99,91,40,D,10,5.29999995232,user,1,40,7,10,10,0,10,30,30,149,141,142,114,122,35,14,31,0,10,0
100,91,41,D,20,1.34999990463,user,2,20,7,30,40,20,0,20,20,157,51,1,16,118,13,46,137,0,20,0
101,91,42,D,0,2.3899998664899997,user,0,20,0,10,10,10,10,20,10,103,160,165,78,84,19,7,94,0,0,0
102,91,43,D,20,1.9900000095400001,user,2,20,10,0,10,10,20,7,14,87,18,147,114,33,28,141,145,0,20,0
